polmer gume [mm], 351.42499999999995
masa kolesa [kg], 15.970440499999999
kotalni upor f, 0.01
koeficient zracnega upora C_d, 0.31
precni presek A [mm^2], 2390000.0
medosna razdalja L [mm], 3171.0
masa praznega vozila + 1/2 goriva + šofer m [kg], 2078
izkoristek transmisije, 0.9
prestavno razmerje diferenciala, 2.8
prestavna razmerja, 4.714, 3.143, 2.106, 1.667, 1.285, 1.0, 0.839, 0.667
 n [1/min], M [Nm], P [kW]
1000, 316.4, 33.1
1100, 359.5, 41.4
1200, 395.5, 49.7
1300, 425.9, 58.0
1400, 451.9, 66.3
1500, 474.5, 74.5
1600, 494.3, 82.8
1700, 511.8, 91.1
1800, 527.3, 99.4
1900, 541.1, 107.7
2000, 553.6, 115.9
2100, 564.9, 124.2
2200, 575.2, 132.5
2300, 580.0, 139.7
2400, 580.0, 145.8
2500, 580.0, 151.8
2600, 580.0, 157.9
2700, 580.0, 164.0
2800, 580.0, 170.1
2900, 580.0, 176.1
3000, 580.0, 182.2
3100, 580.0, 188.3
3200, 580.0, 194.4
3300, 580.0, 200.4
3400, 580.0, 206.5
3500, 580.0, 212.6
3600, 580.0, 218.7
3700, 580.0, 224.7
3800, 580.0, 230.8
3900, 580.0, 236.9
4000, 580.0, 243.0
4100, 579.8, 248.9
4200, 579.3, 254.8
4300, 578.4, 260.5
4400, 577.1, 265.9
4500, 575.5, 271.2
4600, 573.5, 276.3
4700, 571.2, 281.1
4800, 568.5, 285.8
4900, 565.4, 290.1
5000, 562.0, 294.3
5100, 558.2, 298.1
5200, 554.0, 301.7
5300, 549.5, 305.0
5400, 544.7, 308.0
5500, 539.4, 310.7
5600, 533.8, 313.0
5700, 527.9, 315.1
5800, 520.3, 316.0
5900, 511.4, 316.0
6000, 502.9, 316.0
6100, 492.7, 314.7
6200, 478.9, 310.9
6300, 461.7, 304.6
6400, 441.3, 295.8
6500, 417.8, 284.4
