polmer gume [mm], 288.79999999999995
masa kolesa [kg], 14.533372
kotalni upor f, 0.01
koeficient zracnega upora C_d, 0.34
precni presek A [mm^2], 2026863.0
medosna razdalja L [mm], 2500.0
masa praznega vozila + 1/2 goriva + šofer m [kg], 1093
izkoristek transmisije, 0.9
prestavno razmerje diferenciala, 4.067
prestavna razmerja, 3.091, 1.842, 1.32, 0.967, 0.758
 n [1/min], M [Nm], P [kW]
1000, 65.9, 6.9
1100, 74.9, 8.6
1200, 82.4, 10.4
1300, 88.7, 12.1
1400, 94.1, 13.8
1500, 98.8, 15.5
1600, 102.9, 17.2
1700, 106.6, 19.0
1800, 109.8, 20.7
1900, 112.7, 22.4
2000, 115.3, 24.1
2100, 117.6, 25.9
2200, 119.8, 27.6
2300, 121.7, 29.3
2400, 123.5, 31.0
2500, 125.2, 32.8
2600, 126.7, 34.5
2700, 128.1, 36.2
2800, 129.4, 37.9
2900, 130.6, 39.7
3000, 131.8, 41.4
3100, 132.8, 43.1
3200, 133.8, 44.8
3300, 134.8, 46.6
3400, 135.6, 48.3
3500, 136.5, 50.0
3600, 137.3, 51.8
3700, 138.0, 53.5
3800, 138.7, 55.2
3900, 139.4, 56.9
4000, 140.0, 58.6
4100, 140.0, 60.1
4200, 139.9, 61.5
4300, 139.8, 63.0
4400, 139.6, 64.3
4500, 139.4, 65.7
4600, 139.1, 67.0
4700, 138.7, 68.3
4800, 138.4, 69.6
4900, 137.9, 70.8
5000, 137.4, 71.9
5100, 136.9, 73.1
5200, 136.3, 74.2
5300, 135.7, 75.3
5400, 135.0, 76.3
5500, 134.2, 77.3
5600, 133.5, 78.3
5700, 132.6, 79.2
5800, 131.7, 80.0
5900, 129.0, 79.7
6000, 125.3, 78.7
6100, 120.7, 77.1
6200, 115.3, 74.9
6300, 109.1, 72.0
