polmer gume [mm], 288.79999999999995
masa kolesa [kg], 14.533372
kotalni upor f, 0.01
koeficient zracnega upora C_d, 0.34
precni presek A [mm^2], 2026863.0
medosna razdalja L [mm], 2500.0
masa praznega vozila + 1/2 goriva + šofer m [kg], 1093
izkoristek transmisije, 0.9
prestavno razmerje diferenciala, 4.067
prestavna razmerja, 3.091, 1.842, 1.32, 0.967, 0.758
 n [1/min], M [Nm], P [kW]
1000, 33.2, 3.5
1100, 41.0, 4.7
1200, 48.6, 6.1
1300, 55.9, 7.6
1400, 63.0, 9.2
1500, 69.9, 11.0
1600, 76.6, 12.8
1700, 83.0, 14.8
1800, 89.2, 16.8
1900, 95.3, 19.0
2000, 101.1, 21.2
2100, 106.6, 23.4
2200, 112.0, 25.8
2300, 117.1, 28.2
2400, 122.1, 30.7
2500, 126.8, 33.2
2600, 131.2, 35.7
2700, 135.5, 38.3
2800, 139.6, 40.9
2900, 143.4, 43.6
3000, 147.0, 46.2
3100, 150.4, 48.8
3200, 153.6, 51.5
3300, 156.5, 54.1
3400, 159.2, 56.7
3500, 161.8, 59.3
3600, 164.1, 61.9
3700, 166.1, 64.4
3800, 168.0, 66.9
3900, 169.6, 69.3
4000, 171.1, 71.7
4100, 172.3, 74.0
4200, 173.2, 76.2
4300, 174.0, 78.4
4400, 174.6, 80.5
4500, 174.9, 82.4
4600, 175.0, 84.3
4700, 174.7, 86.0
4800, 173.8, 87.4
4900, 171.5, 88.0
5000, 168.1, 88.0
5100, 164.8, 88.0
5200, 161.6, 88.0
5300, 158.6, 88.0
5400, 155.6, 88.0
5500, 152.2, 87.7
5600, 147.7, 86.6
5700, 142.1, 84.8
5800, 135.6, 82.4
5900, 128.2, 79.2
